dzongkhag,site,fee_nu,fee_usd,slug
Paro,Taktsang (Tiger's Nest),1000,12,taktsang
Paro,National Museum (Ta Dzong),500,6,ta-dzong
Paro,Kyichu Lhakhang,500,6,kyichu
Paro,Dungtse / Dumtse Lhakhang,500,6,dungtse
Paro,Paro Rinpung Dzong,500,6,rinpung-dzong
Thimphu,Tashichho Dzong,500,6,tashichho-dzong
Thimphu,Simtokha Dzong,500,6,simtokha-dzong
Thimphu,Changangkha Lhakhang,500,6,changangkha
Thimphu,National Memorial Chorten,500,6,memorial-chorten
Thimphu,Buddha Dordenma,300,3.6,buddha-dordenma
Thimphu,Royal Textile Academy,500,6,textile-academy
Thimphu,Zorig Chusum (Painting School),500,6,zorig-chusum-thimphu
Thimphu,Institute of Traditional Medicine,500,6,traditional-medicine
Thimphu,Folk Heritage Museum,300,3.6,folk-heritage
Thimphu,Simply Bhutan,1000,12,simply-bhutan
Thimphu,Choki Traditional Art School,1000,12,choki-art
Thimphu,Postal Museum,250,2.9,postal-museum
Thimphu,Motithang Takin Preserve,300,3.6,takin-preserve
Thimphu,Changyul Park,100,1.2,changyul-park
Thimphu,Tachogang Lhakhang,300,3.6,tachogang
Thimphu,Serbithang Botanical Park,100,1.2,serbithang
Lamperi,Royal Botanical Gardens,100,1.2,lamperi-gardens
Punakha,Punakha Dzong,500,6,punakha-dzong
Punakha,Chimi Lhakhang,500,6,chimi-lhakhang
Punakha,Khamsum Yulley Namgyal Chorten,100,1.2,khamsum
Punakha,Sangchen Dorji Lhendrup Nunnery,200,2.4,sangchen-nunnery
Wangdue Phodrang,Wangduephodrang Dzong,500,6,wangdue-dzong
Phobjikha,Black-Necked Crane Centre,200,2.4,crane-centre
Trongsa,Trongsa Dzong,500,6,trongsa-dzong
Trongsa,Ta Dzong Museum,500,6,trongsa-ta-dzong
Bumthang,Jambay Lhakhang,500,6,jambay-lhakhang
Bumthang,Wangdicholing Palace Museum,500,6,wangdicholing
Bumthang,Ogyen Choling Museum,400,4.8,ogyen-choling
Trashi Yangtse,Zorig Chusum Institute,100,1.2,zorig-yangtse
Trashigang,Trashigang Dzong,500,6,trashigang-dzong
Mongar,Mongar Dzong,500,6,mongar-dzong
Lhuentse,Lhuentse Dzong,500,6,lhuentse-dzong
Border,Phuentsholing immigration gate,0,0,phuentsholing-gate
Border,Paro International Airport (PBH),0,0,paro-airport
Border,Gelephu land entry,0,0,gelephu-entry
Border,Samdrup Jongkhar land entry,0,0,samdrup-jongkhar-entry
